iata,timezone,gmt_offset,offset_hours,name,city_code,country_id,latitude,longitude,elevation,icao
PRD,Australia/Perth,GMT +8:00,8,Pardoo,PRD,AU,-20.1,119.11667,26,YPDO
OYN,Australia/Melbourne,GMT +11:00,11,Ouyen,OYN,AU,-35.0892885,142.3486862,154,YOUY
PEA,Australia/Adelaide,GMT +10:00,10,Penneshaw,PEA,AU,-35.758188,137.95867,462,YPSH
YQJ,America/Vancouver,GMT -8:00,-8,April Point SPB,YQJ,CA,50.19675,-125.26748,0,
ULP,Australia/Brisbane,GMT +10:00,10,Quilpie,ULP,AU,-26.633333,144.3,655,YQLP
TDR,Australia/Brisbane,GMT +10:00,10,Theodore,TDR,AU,-24.9876164,150.093096545208,171,YTDR
CDU,Australia/Sydney,GMT +11:00,11,Camden,CDU,AU,-15.45,124.416664,0,YSCN
TQP,Australia/Brisbane,GMT +10:00,10,Trepell Airport,TQP,AU,-21.8402176,140.894352,891,YTEE
NDS,Australia/Perth,GMT +8:00,8,Sandstone,NDS,AU,-27.9799995,119.2969971,1696,YSAN
MJK,Australia/Perth,GMT +8:00,8,Shark Bay,MJK,AU,-25.8975961,113.575947022879,200,YSHK
RMA,Australia/Brisbane,GMT +10:00,10,Roma Airport,RMA,AU,-26.5423989,148.7770438,961,YROM
RCM,Australia/Brisbane,GMT +10:00,10,Richmond,RCM,AU,-20.70389,143.11667,600,YRMD
ROH,Australia/Brisbane,GMT +10:00,10,Robinhood,ROH,AU,-18.25,144,1302,YROB
SBR,Australia/Brisbane,GMT +10:00,10,Saibai Island,SBR,AU,-9.37905895,142.625809393187,22,YSII
RPB,Australia/Darwin,GMT +9:00,9,Roper Bar,RPB,AU,-14.733333,134.73334,65,YRRB
RTP,Australia/Brisbane,GMT +10:00,10,Rutland Plains,RTP,AU,-15.6,141.83333,59,YRTP
RHL,Australia/Perth,GMT +8:00,8,Roy Hill,RHL,AU,-22.75,120,1358,YRYH
RSB,Australia/Brisbane,GMT +10:00,10,Roseberth,RSB,AU,-25.8215655,139.623569,147,YRSB
SHU,Australia/Darwin,GMT +9:00,9,Smith Point,SHU,AU,-11.13463955,132.161914158981,9,YSMP
SGP,Australia/Perth,GMT +8:00,8,Shay Gap,SGP,AU,-20.816668,120.23333,741,YSHG
SCG,Australia/Brisbane,GMT +10:00,10,Spring Creek,SCG,AU,-38.016666,142.41667,367,YSPK
